TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,LPS_Id
PC,61,5061800039,UA ISQUARE,"7/F, 8/F, 9/F, M1 & M2, ISQUARE, NOS. 35-79 NATHAN ROAD, TSIMSHATSUI, LOT NO. K.I.L. 7425, KOWLOON",,2018-06-10,0
PC,61,5061800048,Broadway Cinema,"PORTION OF LEVEL 6, LEVEL 7, LEVEL 8, LEVEL 9,LEVEL 10, LEVEL 11, THE ONE, NO. 100 NATHAN ROAD, TSIM SHA TSUI, KOWLOON",,2018-03-16,0
PC,63,5063000040,Festival Grand,"PORTIONS OF LEVELS LG2, LG, G/F, UG,L1, L1A, L2 & L2A, FESTIVAL WALK, 80 TAT CHEE AVENUE, KOWLOON TONG, SHAM SHUI PO, KOWLOON",,2017-10-25,0
PC,12,5012000011,Hong Kong Arts Centre - Agnes b CINEMA,"LOWER & UPPER BASEMENT, HK ARTS CENTRE BUILDING, 2 HARBOUR ROAD, WAN CHAI, HONG KONG",,2017-10-10,0
PC,12,5012000020,HK Arts Centre - McAulay Studio,"LOWER & UPPER BASEMENT, HK ARTS CENTRE BUILDING, 2 HARBOUR ROAD, WAN CHAI, HONG KONG",,2017-10-10,0
PC,12,5012000039,Hong Kong Arts Centre - Shouson Theatre,"G/F - 2/F & 3/F (MAJOR PORTION), HK ARTS CENTRE BUILDING, 2 HARBOUR ROAD, HONG KONG",,2017-10-10,0
PC,12,5012000057,The HK Academy for Performing Arts-Theatre Bldg &The HK Jockey Club Amphitheatre,"THEATRE BUILDING &THE HONG KONG JOCKEY CLUB AMPHITHEATRE, THE HONG KONG ACADEMY FOR PERFORMING ARTS, 1 GLOUCESTER ROAD, WAN CHAI, HONG KONG",,2018-04-08,0
PC,12,5012000066,The Hong Kong Academy for Performing Arts - Exhibition Area,"EXHIBITION AREA, THE HONG KONG ACADEMY FOR PERFORMING ARTS, 1 GLOUCESTER ROAD, WAN CHAI, HONG KONG",,2018-04-14,0
PC,12,5012000084,HONG KONG CONVENTION & EXHIBITION CENTRE - THEATRE ONE,"THEATRE 1, HONG KONG CONVENTION & EXHIBITION CENTRE, 1 HARBOUR ROAD, WAN CHAI, HONG KONG",,2018-07-30,0
PC,12,5012000093,HONG KONG CONVENTION & EXHIBITION CENTRE - THEATRE TWO,"THEATRE 2, HONG KONG CONVENTION & EXHIBITION CENTRE, 1 HARBOUR ROAD, WAN CHAI, HONG KONG",,2018-07-30,0
PC,12,5012000136,Goethe - Institut Hong Kong Lecture Hall / Video Room,"14/F, HK ARTS CENTRE, 2 HARBOUR ROAD, WAN CHAI, HONG KONG",,2018-01-10,0
PC,12,5012000154,Cinema City,"22-36 PATERSON STREET, CAUSEWAY BAY, WAN CHAI, HONG KONG",,2018-07-19,0
PC,12,5012000163,President Theatre 1 & 2,"G/F(PORTION), 1/F(PORTION),  2/F(PORTION), 3/F(PORTION), 517 JAFFE ROAD, CAUSEWAY BAY, WAN CHAI, HONG KONG",,2018-05-14,0
PC,12,5012800022,Windsor Cinema,"4/F (PORTION), 5/F (PORTION), 6/F (PORTION),WINDSOR HOUSE, NO. 311 GLOUCESTER ROAD, CAUSEWAY BAY, HONG KONG",,2017-10-20,0
PC,12,5012800068,Cine Times,"PORTIONS OF 3/F TO 11/F, CINEMA PORTIONS OF 12/F TO 14/F, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HONG KONG",,2017-11-12,0
PC,92,5092000015,Tsuen Wan Broadway Theatre,"PORTION OF L1, L2 AND L3, TSUEN WAN PLAZA, TAI PA STREET, TWTL 326, TSUEN WAN, NEW TERRITORIES",,2018-08-11,0
PC,92,5092000033,Disney's Storybook Theatre,"FL-413 (PORTION), FANTASYLAND, HONG KONG DISNEYLAND RESORT, LANTAU ISLAND, HONG KONG",,2018-07-31,0
PC,92,5092800044,GH CITYWALK,"1/F CINEMA & FOYER, 1/F, CITYWALK 2, 18 YEUNG UK ROAD, TSUEN WAN, NEW TERRITORIES",,2018-06-02,0
PC,91,5091000018,"Kwai Fong Broadway Theatre 1, 2, 3, 4, 5.","CINEMA NO.1, 2, 3, 4 & 5, L1-L4, METROPLAZA, 223 HING FONG ROAD, KCTL 395, KWAI CHUNG, NEW TERRITORIES",,2018-09-21,0
PC,91,5091000027,GH Tsing Yi Multiplex,"SHOP NO. G05, GROUND FLOOR(MAJOR PORTION) & MEZZANINE FLOOR, MARITIME SQUARE, 33 TSING KING ROAD, TSING YI, NEW TERRITORIES",,2018-02-28,0
PC,98,5098000017,MCL Metro City Cinema,"G/F., CINEMA AREA, METRO CITY, PHASE II, 8 YAN KING STREET, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",,2017-11-06,0
PC,98,5098800028,THE STAR CINEMA,"THE STAR CINEMA, GROUND LEVEL (PORTION) , LEVEL 1 (PORTION) AND LEVEL 2 (PORTION), 9 TONG YIN STREET, TSEUNG KWAN O , SAI KUNG, NEW TERRITORIES",,2018-09-23,0
